time,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,average_path
0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
0.003968,99.389846,100.477468,97.847441,101.590169,99.537697,98.574578,100.853851,101.301234,99.379329,98.081612,100.018495
0.007937,100.790949,99.520236,97.367329,102.723352,100.587361,99.529349,99.862081,102.496360,98.322052,99.346661,100.041630
0.011905,99.216682,101.194501,97.197666,101.800196,97.787228,100.747721,98.417432,102.504495,97.444347,98.579781,100.059609
0.015873,99.443292,99.902172,98.023254,102.694434,94.519590,101.650005,99.771571,104.508715,96.946269,98.343649,100.074641
0.019841,98.327609,98.930482,97.752991,102.544099,93.795233,101.611000,101.042997,106.000655,98.464265,96.258280,100.091929
0.023810,97.986013,100.942448,99.177221,104.967775,94.011732,102.475512,99.947168,105.900444,99.124445,96.954164,100.108446
0.027778,98.778121,101.960871,99.744739,105.877619,93.516233,99.926871,100.107699,106.205781,97.118531,94.898354,100.123345
0.031746,97.689208,99.220072,101.742606,106.015900,93.181071,100.219845,99.834912,104.229423,96.021248,93.735703,100.142243
0.035714,95.359007,100.681045,100.409640,103.962581,93.530599,99.346004,98.157568,104.824871,96.273757,92.654795,100.158508
0.039683,95.328265,98.516649,99.566695,103.805214,93.308607,99.696880,96.521319,102.885563,96.082620,92.368121,100.179171
0.043651,96.325598,99.046846,98.620515,105.005334,95.312223,98.869041,95.702443,102.721360,96.853401,92.380507,100.196722
0.047619,96.711154,96.444206,99.476281,105.522061,94.072098,100.299462,95.635622,105.183428,94.334972,93.672224,100.222288
0.051587,97.117783,96.817112,99.133790,108.006044,94.420745,101.251313,96.283707,107.446415,93.768200,92.921439,100.233518
0.055556,96.900200,94.653371,99.294604,108.664753,94.443258,102.474040,95.650969,106.552620,95.392738,91.948259,100.249117
0.059524,96.852647,93.850900,100.628969,109.019094,92.216316,103.248829,96.924637,105.764970,94.133250,92.901911,100.270162
0.063492,95.258914,93.746234,102.136437,107.190736,92.429880,99.878739,96.450320,105.002510,93.415644,92.284112,100.290848
0.067460,97.340418,94.728704,100.993591,108.778652,91.860259,98.963894,94.399864,106.085399,91.554511,92.801443,100.319063
0.071429,98.274278,94.630581,103.443934,110.920369,91.753040,99.385764,93.582609,105.280192,92.517327,93.145643,100.341691
0.075397,98.259027,95.838033,104.655386,111.372192,91.828666,98.409420,92.606336,105.878106,92.270368,92.487291,100.364648
0.079365,98.307254,94.456446,102.951809,113.684203,95.243924,98.838548,94.996770,104.629517,91.569567,92.867736,100.390954
0.083333,98.417918,96.631323,103.377876,114.353530,94.584324,99.865189,94.410972,103.313410,91.136526,94.241203,100.411991
0.087302,97.721348,97.051291,102.194196,112.891050,95.369898,100.132802,94.114723,103.944610,91.411202,94.861655,100.432763
0.091270,97.844811,97.917664,103.378249,112.425516,93.102762,101.876897,94.406533,101.010591,92.229125,93.375391,100.459291
0.095238,96.532328,98.868889,105.246416,113.511592,92.280923,103.654219,94.725716,100.303065,94.013478,92.577964,100.479676
0.099206,94.449846,97.000869,103.643996,113.215538,93.664547,104.134120,93.902482,101.760234,94.404965,89.721587,100.500795
0.103175,96.150284,98.234030,102.795895,112.611033,94.321501,103.219364,93.368336,100.840686,95.012369,89.503850,100.514343
0.107143,95.182584,96.725656,102.662184,111.956026,93.874134,102.341510,94.241122,98.923544,94.707949,91.615052,100.532132
0.111111,94.703805,95.988053,102.768079,112.301437,93.706324,100.546405,95.992564,100.223046,92.832842,90.830290,100.547725
